22:07:39.790 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.03 0.02
22:07:39.797 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.01 0.00
22:07:39.804 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 -0.01 0.00
22:07:39.813 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.04 -0.03
22:07:39.818 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.04 -0.01 0.00
22:07:39.825 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.01 -0.01
22:07:39.833 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.01 0.02
22:07:39.839 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.04 -0.01 0.00
22:07:39.846 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.04 0.00
22:07:39.853 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 0.04 -0.01
22:07:39.860 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.01 -0.03
22:07:39.867 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 -0.03
22:07:39.874 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.04 0.00
22:07:39.881 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.03 0.00
22:07:39.888 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 0.04 0.02
22:07:39.895 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.04 0.03
22:07:39.902 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.01 0.02
22:07:39.909 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 -0.01 0.03
22:07:39.916 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 0.02
22:07:39.923 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.01 0.02
22:07:39.930 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.02 0.00
