00:38:52.731 > Setup t0
00:38:52.731 > Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  0.00
00:38:52.731 > Setup t1
00:38:52.731 > [    26][E][esp32-hal-i2c.c:255] i2cSetClock(): could not acquire lock
00:38:57.627 > 3C:61:05:33:DA:74Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  0.00
00:39:00.638 > Desired roll:  -9.00  | Desired pitch:  -8.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.647 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.655 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.663 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.672 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.681 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -10.00  | Desired throttle:  0.47
00:39:00.689 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.703 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.712 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.720 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.728 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.737 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.746 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.753 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.763 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.770 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -10.00  | Desired throttle:  0.47
00:39:00.779 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.793 > Desired roll:  -9.00  | Desired pitch:  -8.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.801 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.810 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.818 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.828 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.835 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.843 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.853 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.860 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.869 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -8.00  | Desired throttle:  0.47
00:39:00.883 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.891 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.900 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.908 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.917 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.925 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -10.00  | Desired throttle:  0.47
00:39:00.934 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.943 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.950 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.959 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.973 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.981 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.990 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:00.998 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.007 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.016 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.023 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.032 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.040 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.049 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.063 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.071 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.081 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.089 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.098 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.105 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.114 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.122 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.131 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.139 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.153 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.161 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.170 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.179 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.187 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.195 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.203 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.213 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.220 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.230 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.243 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.251 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.260 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.268 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.277 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.286 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.293 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.304 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.310 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.319 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.333 > Desired roll:  -9.00  | Desired pitch:  -8.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.341 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.350 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.358 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -10.00  | Desired throttle:  0.47
00:39:01.367 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -10.00  | Desired throttle:  0.47
00:39:01.375 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.384 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.392 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.402 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.415 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.423 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.432 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.441 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.450 > Desired roll:  -10.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.458 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.466 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.474 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.482 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.492 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.505 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
00:39:01.513 > Desired roll:  -9.00  | Desired pitch:  -7.00  | Desired yaw:  -9.00  | Desired throttle:  0.47
