00:42:18.686 > Setup t0
00:42:18.688 > Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  0.00
00:42:18.696 > Setup t1
00:42:18.697 > [    26][E][esp32-hal-i2c.c:255] i2cSetClock(): could not acquire lock
00:42:25.042 > 3C:61:05:33:DA:74Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  0.00
00:42:28.053 > Desired roll:  118.00  | Desired pitch:  120.00  | Desired yaw:  118.00  | Desired throttle:  120.00
00:42:28.062 > Desired roll:  118.00  | Desired pitch:  120.00  | Desired yaw:  118.00  | Desired throttle:  120.00
00:42:28.071 > Desired roll:  118.00  | Desired pitch:  120.00  | Desired yaw:  118.00  | Desired throttle:  120.00
00:42:28.080 > Desired roll:  118.00  | Desired pitch:  120.00  | Desired yaw:  118.00  | Desired throttle:  120.00
00:42:28.097 > Desired roll:  118.00  | Desired pitch:  120.00  | Desired yaw:  118.00  | Desired throttle:  120.00
00:42:28.103 > Desired roll:  118.00  | Desired pitch:  120.00  | Desired yaw:  118.00  | Desired throttle:  120.00
00:42:28.112 > Desired roll:  118.00  | Desired pitch:  120.00  | Desired yaw:  118.00  | Desired throttle:  120.00
00:42:28.121 > Desired roll:  118.00  | Desired pitch:  120.00  | Desired yaw:  118.00  | Desired throttle:  120.00
00:42:28.130 > Desired roll:  118.00  | Desired pitch:  120.00  | Desired yaw:  118.00  | Desired throttle:  120.00
00:42:28.145 > Desired roll:  118.00  | Desired pitch:  120.00  | Desired yaw:  118.00  | Desired throttle:  120.00
00:42:28.153 > Desired roll:  118.00  | Desired pitch:  120.00  | Desired yaw:  118.00  | Desired throttle:  120.00
00:42:28.162 > Desired roll:  118.00  | Desired pitch:  120.00  | Desired yaw:  118.00  | Desired throttle:  120.00
00:42:28.171 > Desired roll:  118.00  | Desired pitch:  120.00  | Desired yaw:  118.00  | Desired throttle:  120.00
00:42:28.180 > Desired roll:  118.00  | Desired pitch:  120.00  | Desired yaw:  118.00  | Desired throttle:  120.00
00:42:28.194 > Desired roll:  118.00  | Desired pitch:  120.00  | Desired yaw:  118.00  | Desired throttle:  120.00
00:42:28.203 > Desired roll:  118.00  | Desired pitch:  120.00  | Desired yaw:  118.00  | Desired throttle:  120.00
00:42:28.212 > Desired roll:  118.00  | Desired pitch:  120.00  | Desired yaw:  118.00  | Desired throttle:  120.00
00:42:28.221 > Desired roll:  118.00  | Desired pitch:  120.00  | Desired yaw:  118.00  | Desired throttle:  120.00
00:42:28.232 > Desired roll:  118.00  | Desired pitch:  120.00  | Desired yaw:  118.00  | Desired throttle:  120.00
00:42:28.244 > Desired roll:  118.00  | Desired pitch:  120.00  | Desired yaw:  118.00  | Desired throttle:  120.00
00:42:28.253 > Desired roll:  118.00  | Desired pitch:  120.00  | Desired yaw:  118.00  | Desired throttle:  120.00
