01:25:30.715 > Desired roll:  0.00  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:30.723 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:30.732 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:25:30.740 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:30.748 > Desired roll:  0.08  | Desired pitch:  0.00  | Desired yaw:  0.08  | Desired throttle:  0.00
01:25:30.756 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:25:30.770 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:30.778 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:30.787 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:25:30.796 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:30.803 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:25:30.811 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:30.819 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:30.827 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:25:30.836 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:30.844 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:25:30.852 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:25:30.860 > Desired roll:  0.08  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:30.868 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:30.877 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:25:30.885 > Desired roll:  0.08  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:30.893 > Desired roll:  0.08  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:30.901 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:25:30.910 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:25:30.917 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:25:30.925 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:25:30.934 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:30.942 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:30.950 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:30.958 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:30.972 > Desired roll:  0.08  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:30.980 > Desired roll:  0.00  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:30.989 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:30.997 > Desired roll:  0.08  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:31.005 > Desired roll:  0.00  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:31.014 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:25:31.021 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:25:31.029 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:25:31.038 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:25:31.046 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:25:31.054 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:25:31.062 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
